,а,б,в,г,д,е,ё,ж,з,и,й,к,л,м,н,о,п,р,с,т,у,ф,х,ц,ч,ш,щ,ъ,ы,ь,э,ю,я
х,0.0005108370429832884,0.0002554185214916442,0.0009122090053273005,0.00029190688170473617,0.00018244180106546012,0.00010946508063927607,0.0,0.0,0.0002554185214916442,0.0002554185214916442,0.0,0.00010946508063927607,0.00018244180106546012,0.0003283952419178282,0.0008027439246880245,0.003101510618112822,0.0004378603225571043,0.00021893016127855214,0.00040137196234401223,7.297672042618404e-05,0.00014595344085236808,3.648836021309202e-05,0.0,0.0,0.00010946508063927607,3.648836021309202e-05,0.0,0.0,0.0,0.0,3.648836021309202e-05,0.0,7.297672042618404e-05
ц,0.00036488360213092025,0.0,0.00014595344085236808,0.0,0.0,0.0007297672042618405,0.0,0.0,3.648836021309202e-05,0.0004743486827701963,0.0,3.648836021309202e-05,0.0,0.0,7.297672042618404e-05,0.00018244180106546012,3.648836021309202e-05,3.648836021309202e-05,3.648836021309202e-05,3.648836021309202e-05,3.648836021309202e-05,0.0,0.0,0.0,7.297672042618404e-05,0.0,0.0,0.0,0.00040137196234401223,0.0,0.0,0.0,0.0
ч,0.002809603736408086,0.0,0.0,0.0,0.0,0.00342990586003065,0.0,0.0,0.0,0.0018973947310807853,0.0,0.0004378603225571043,0.00014595344085236808,0.0,0.0009122090053273005,0.00010946508063927607,0.0,3.648836021309202e-05,0.0,0.0034663942202437423,0.0010581624461796686,0.0,0.0,0.0,0.0,0.00018244180106546012,0.0,0.0,0.0,0.0002554185214916442,0.0,0.0,0.0
ш,0.0007662555644749325,0.0,3.648836021309202e-05,0.0,0.0,0.0019703714515069692,0.0,0.0,0.0,0.0017879296504415092,0.0,0.001459534408523681,0.0005838137634094723,0.0,0.00018244180106546012,0.00040137196234401223,3.648836021309202e-05,0.0,3.648836021309202e-05,0.00010946508063927607,0.0003283952419178282,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0009486973655403926,0.0,0.0,7.297672042618404e-05
щ,0.00040137196234401223,0.0,0.0,0.0,0.0,0.0023352550536378893,0.0,0.0,0.0,0.0009486973655403926,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00036488360213092025,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ъ,0.0,0.0,0.0,0.0,0.0,3.648836021309202e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00010946508063927607
ы,7.297672042618404e-05,0.0006567904838356564,0.0016784645698022331,0.00018244180106546012,0.0003283952419178282,0.001568999489162957,0.0,7.297672042618404e-05,0.0005108370429832884,0.0004378603225571043,0.0013865576880974968,0.00036488360213092025,0.002846092096621178,0.0017879296504415092,0.0006932788440487484,0.00018244180106546012,0.0009122090053273005,0.0005108370429832884,0.0012406042472451289,0.0009851857257534846,0.00010946508063927607,0.0,0.0012406042472451289,0.0,0.00036488360213092025,0.0004378603225571043,0.0,0.0,0.0,0.0,7.297672042618404e-05,0.0,0.00010946508063927607
ь,0.0002554185214916442,0.0004378603225571043,0.0012406042472451289,0.00036488360213092025,0.0006567904838356564,0.0005838137634094723,0.0,7.297672042618404e-05,0.0007662555644749325,0.0008027439246880245,0.0,0.0023717434138509816,0.00014595344085236808,0.0008757206451142086,0.0038312778223746624,0.0005108370429832884,0.0009851857257534846,0.0002554185214916442,0.002846092096621178,0.0006203021236225644,0.00010946508063927607,7.297672042618404e-05,7.297672042618404e-05,0.0003283952419178282,0.0002554185214916442,0.0005838137634094723,3.648836021309202e-05,0.0,0.0,0.0,3.648836021309202e-05,0.0009122090053273005,0.0004378603225571043
э,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.648836021309202e-05,0.0,0.0,3.648836021309202e-05,3.648836021309202e-05,3.648836021309202e-05,3.648836021309202e-05,0.0,0.0,0.00014595344085236808,7.297672042618404e-05,0.0022622783332117056,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.648836021309202e-05,0.0,0.0
ю,3.648836021309202e-05,0.00021893016127855214,0.0003283952419178282,0.00014595344085236808,0.00036488360213092025,0.0,0.0,0.0,0.00018244180106546012,0.0002554185214916442,0.0,0.0002554185214916442,0.00014595344085236808,0.00029190688170473617,0.0003283952419178282,0.0002554185214916442,0.00040137196234401223,0.00014595344085236808,0.0005473254031963803,0.00036488360213092025,0.00010946508063927607,0.0,3.648836021309202e-05,0.0,0.00021893016127855214,0.0,0.0011676275268189447,0.0,0.0,0.0,7.297672042618404e-05,0.0,3.648836021309202e-05
я,0.0005108370429832884,0.0005473254031963803,0.0027731153761949936,0.0006567904838356564,0.0018973947310807853,0.0006932788440487484,0.0,0.0002554185214916442,0.001459534408523681,0.0012041158870320368,3.648836021309202e-05,0.0010946508063927607,0.001423046048310589,0.001350069327884405,0.003283952419178282,0.0012770926074582207,0.002809603736408086,0.0005108370429832884,0.0023352550536378893,0.0024447201342771654,0.0010581624461796686,7.297672042618404e-05,0.00018244180106546012,3.648836021309202e-05,0.0007662555644749325,0.00014595344085236808,0.0004743486827701963,0.0,0.0,0.0,0.00014595344085236808,0.00018244180106546012,0.0006932788440487484
Entropy,8.273246034213097,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
R,1.1488187319597163,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
